"Word","Length","Log_Freq_HAL","predicted_gaze_duration_default"
"adheres",7,5.572,262.095154603221
"adhesion",8,5.932,264.338120609563
"adhesive",8,6.844,258.271446819172
"adhesives",9,5.075,274.989554055543
"adieu",5,4.956,256.984848654037
"adios",5,6.203,248.954645711362
"adipose",7,4.82,267.161194559003
"adirondack",10,5.864,274.330328187908
"adirondacks",11,4.779,287.045717871855
"adjacent",8,8.101,250.137351943435
"adjectival",10,3.664,290.133462042386
"adjective",9,6.952,262.158174678671
"adjectives",10,6.426,270.433287335427
"adjoin",6,2.303,279.847315081258
"adjoined",8,2.89,285.623049924436
"adjoining",9,6.441,265.590909228829
"adjoins",7,3.497,276.312762029584
"adjourn",7,5.118,265.14203221797
"adjourned",9,5.398,272.737585648011
"adjourning",10,1.946,303.104686180818
"adjournment",11,4.644,288.033950781917
"adjourns",8,2.398,289.223103903685
"adjudge",7,2.398,284.152764982685
"adjudged",8,4.159,276.543037301105
"adjudging",9,0.693,307.443401684714
"adjudicate",10,4.762,282.135629433209
"adjudication",12,5.389,287.665505301234
"adjunct",7,6.615,255.227347012514
"adjuncts",8,4.7,272.760348326804
"adjure",6,2.303,279.847315081258
"adjust",6,9.056,235.644620283117
"adjustable",10,7.846,260.831544361516
"adjusted",8,8.414,248.152072401752
"adjusting",9,7.758,256.833681135092
"adjustment",10,8.45,256.851478469982
"adjustments",11,7.883,265.235788627255
"adjusts",7,6.375,256.79155262695
"Adlai",5,5.124,255.888076664042
"administer",10,7.747,261.48976374248
"administered",12,8.02,269.028628878796
"administering",13,7.188,279.69099759321
"administers",11,5.953,278.593450968736
"administration",14,10.298,263.011232962093
"administration's",16,6.822,297.69285099791
"administrative",14,9.157,270.763180382586
"administratively",16,4.564,315.307042938483
"administrator",13,10.059,259.977445164092
"administrators",14,8.863,272.797368858187
"admirable",9,6.9,262.505456618555
"admirably",9,6.033,268.363966075183
"admiral",7,8.501,243.262354961037
"admirals",8,5.521,267.11849728693
"admiralty",9,5.529,271.82951371968
"admiration",10,7.231,264.947469331638
"admire",6,8.058,241.70841974488
"admired",7,7.219,251.332796370958
"admirer",7,6.033,259.037123685663
"admirers",8,5.897,264.573760762779
"admires",7,5.521,262.435671831311
"admiring",8,6.433,260.988012653527
"admiringly",10,3.526,291.154561328385
"admissible",10,5.903,274.058088898623
"admission",9,8.7,250.747656680368
"admissions",10,7.464,263.380515428054
"admit",5,10.211,224.805190591809
"admits",6,7.892,242.732056382918
"admittance",10,5.796,274.805648813193
"admitted",8,9.039,244.234876014076
"admittedly",10,8.337,257.591447086898
"admitting",9,7.731,257.01028205583
"admixed",7,0,302.040404597855
"admonish",8,4.942,271.085068253365
"admonished",10,5.541,276.595447719707
"admonishing",11,4.127,291.850082728222
"admonishments",13,3.664,305.943414265946
"admonition",10,5.697,275.49913243493
"admonitions",11,4.533,288.849046076931
"ado",3,6.495,238.522627465158
"adobe",5,8.847,232.748672622091
"adolescence",11,6.669,273.561229878459
"adolescent",10,7.328,264.294002813859
"adolescents",11,6.771,272.85178457122
"adolescent's",12,0.693,324.196607115992
"Adolf",5,7.188,242.789397876422
"Adonis",6,6.207,253.371116856029
"adopt",5,8.649,233.924856971407
"adopted",7,9.153,239.257829424753
"adopting",8,7.509,253.935789590248
"adoption",8,9.065,244.073267120618
"adopts",6,6.114,253.971712572039
"adorable",8,6.841,258.291172962678
"adoration",9,6.068,268.124950210945
"adore",5,6.965,244.171677487706
"adored",6,5.875,255.521717600633
"adores",6,5.375,258.795070270217
"adorn",5,4.796,258.033763577142
"adorned",7,5.557,262.195260838722
"adornment",9,5.485,272.134177271483
"adorns",6,3.892,268.75254446858
"adrenal",7,5.838,260.326272386274
"adrenalin",9,5.775,270.132441024719
"Adrian",6,8.581,238.511487805196
"Adriatic",8,5.687,265.992019455386
"adrift",6,5.468,258.183068213159
"adroit",6,3.761,269.650337493185
"adroitness",10,1.099,309.711541522762
"ads",3,10.191,217.102722363089
"adsorbed",8,4.511,274.075925226905
"adsorbs",7,2.565,282.947247725408
"adulation",9,5.198,274.129809423766
"adult",5,10.136,225.234836055715
"adulterant",10,1.609,305.716335336789
"adulterate",10,2.944,295.500623257147
"adulterated",11,4.174,291.501082401493
"adulterer",9,4.489,279.122743463643
"adulterers",10,5.056,280.031807653874
"adulteress",10,4.007,287.61099728357
"adulterous",10,4.977,280.595574079048
"adultery",8,7.113,256.508779320247
"adulthood",9,6.773,263.355561045861
"adults",6,9.371,233.762463387094
"advance",7,11.278,226.658175403296
"advanced",8,10.506,235.281617071004
"advancement",11,8.32,262.301330352781
"advancements",12,5.984,283.340888899711
"advances",8,8.437,248.006812229773
"advancing",9,7.641,257.599829271272
"advantage",9,10.419,240.010916952426
"advantageous",12,6.941,276.521123816158
"advantageously",14,3.555,312.267904398984
"advantages",10,9.2,251.99376664006
"advent",6,7.589,244.611692722524
"adventitious",12,2.89,306.561517550378
"adventure",9,9.462,245.930240758559
"adventurers",11,7.063,270.830979725595
"adventures",10,9.161,252.244088038016
"adventuring",11,5.412,282.457034446895
"adventurous",11,6.974,271.445319171844
"adverb",6,5.004,261.250968872073
"adverbial",9,4.477,279.208028092624
"adverbs",7,5.215,264.48808583023
"adversaries",11,6.026,278.076179860531
"adversary",9,6.6,264.518008354557
"adverse",7,8.039,246.140425001921
"adversely",9,6.806,263.134403394326
"adversity",9,5.771,270.159950784669
"advert",6,6.805,249.543005302415
"advertise",9,8.94,249.220266513621
"advertised",10,8.731,255.020581734019
"advertisement",13,8.488,270.585934101938
"advertisements",14,8.275,276.911707950967
"advertiser",10,7.047,266.191477220812
"advertisers",11,7.82,265.661533031474
"advertises",10,6.732,268.334738877343
"advertising",11,9.987,251.402468212894
"advice",6,10.703,225.968394780848
"advisability",12,4.078,297.428567037514
"advisable",9,7.091,261.232117148205
"advise",6,9.112,235.308910522423
"advised",7,8.622,242.514151879947
"advisedly",9,3.401,286.962103634102
"advisement",10,4.369,284.972586901134
"adviser",7,6.931,253.182331964206
"advisers",8,6.006,263.840600717101
"advises",7,6.755,254.319297604092
"advising",8,6.902,257.890370688041
"advisor",7,8.42,243.764507587631
"advisors",8,7.196,255.967340336914
"advisory",8,8.36,248.49345248169
"advocacy",8,8.249,249.196653765461
"advocate",8,8.891,245.156843863132
"advocated",9,7.368,259.396407940108
"advocates",9,8.639,251.137358051882
"advocating",10,8.036,259.572932743932
"Aegean",6,7.366,246.004347255586
